Session Associated Time;Session Duration;Client MAC Address;Host Name;Device;OS Type;Upstream Transferred (Bytes);Downstream Transferred (Bytes);Connected AP Name
18/10/2016 18:56;160 280,00;4c:66:41:8a:11:de;android-447126922393d6d6;Unknown;Android;80 323,00;756 213,00;LOGES-3CD_AP3
18/10/2016 16:25;73 969,00;34:14:5f:c0:d5:bd;android-ec07947b6598c3a9;Unknown;Android;10 577,00;43 646,00;SALON-4D_AP1
18/10/2016 11:21;6 601,00;bc:54:36:30:3c:f1;iPhone;Unknown;iOS;1 980,00;254,00;COULOIR-4CD_AP2
18/10/2016 18:56;59 697,00;18:f6:43:8f:8a:80;Unknown;Apple;iOS;2 192,00;6 432,00;LOGES-3CD_AP1
18/10/2016 18:02;29 264,00;40:33:1a:ce:f2:33;iPhone;Apple;iOS;657,00;711,00;LOGES-5CD_AP1
18/10/2016 21:28;25 884,00;f4:5c:89:ee:13:d5;iPhone-FALZON;Unknown;iOS;6 596,00;300,00;SALON-4D_AP2
18/10/2016 19:11;7 829,00;b8:53:ac:08:42:bc;iPhone-107;Unknown;iOS;1 340,00;254,00;COULOIR-3CD_AP
18/10/2016 15:03;27 106,00;4c:66:41:03:94:32;Unknown;Unknown;Android;5 776,00;4 264,00;LOGES-3CD_AP3
18/10/2016 12:40;643 323,00;24:0a:11:38:95:40;android-8823f24fcea45350;TCT Mobile Limited;Android;313 484,00;473 868,00;SALON-5D_AP2
18/10/2016 15:20;6 066,00;98:fe:94:d2:86:4a;Unknown;Apple;iOS;605,00;693,00;SALON-2C_AP1
